line,annotated
"[Текст песни ""KONSTRUKT"" ft. Porchy, May Wave$, Jeembo, Loqiemean, Thomas Mraz, Tveth, Souloud, Markul, Oxxxymiron]",0
[Куплет 1: Porchy],0
Motherfuckers never thought I was the one to wait on (yea),0
Why do you think I never stay calm?,0
I bet you didn’t think I’d make bombs (ra-ca-ca),0
But every track I drop — napalm strike,0
Adaptation — I’m the proof (ye-yea),0
I'm the only foreign in the crew,1
(ye-yea),0
I was there when there was just a few,1
(ye-yea),0
Why do you think there is English in this tune?,0
Oh-oh,0
"Principles I got a ton, always had them since I was young",0
"I was in it when it began, will be with it until it's done",0
And that's never “forever immortalized”,0
Oh-oh,0
"I went from city to city, I left my country",0
"Yeah, they say I turned my back on it and never took a crack at it",0
"I never turned my back on it, but I diversified, bitch",0
[Куплет 2: May Wave$],0
Не доверяю никому кроме своей команды,1
(брря),0
"Молоко, welcome",1
(стрит),0
В переулке гирлянды мигалок,0
Дели банк или иди на банку,0
Лодка стафа в пачке малабара,1
(виуу),0
Её цацки стреляют как маузер (дзяуу),0
Детку крепят вместе с опиатом,0
Это крайняя дорога в ад (айй),0
Связи слишком сложно выбирать,0
Ведь тут не предложен оператор,0
Хватит звонить,0
Я не буду смотреть ей в глаза,0
В них так узко — это China Town,0
Роза рубцом в район живота (айй),0
"Раздаётся, как колода карт",0
Таро! Мами!,0
Много лучших — но они пиздят,0
"Разговора больше, чем товара",0
[Куплет 3: Jeembo],0
"Мои куплеты, как вороны (hu)",0
Они летят во все стороны (pew-pew),0
Сорванный банк делим поровну (поровну),0
Скурили лям и нам всё равно (всё равно; всё равно),0
Открываю двери храма всем,0
От Адама до Саддама (hu),0
"Кореш, я имею шрамы",0
"Не зализываем раны (нет, нет)",0
"Не зови меня блок бой, рок-н-ролл я будто Pink Floyd (йе-йеа)",0
"Стая рядом, слышишь их вой?",0
Я даю им мяса с лихвой,0
Они зовут меня Джимбо,0
Выходец лимба,0
Поднятый на руки или одетый на вилы,0
"Сам себе выберу имя (выберу имя, выберу имя)",0
Пал с неба теперь вмят в землю (в землю),0
"Тени шепчут, но я не внемлю (но я не внемлю)",0
Это долгий путь наверх,0
Словно первородный грех,0
Теперь поимей их всех,0
[Куплет 4: Loqiemean],0
"(Ok, Loqi)",0
"У, этот город не мой, но он дал мне голос",1
(йе),0
Этот город немой — он отдал мне голос,1
(йе),0
Он смеётся беззвучно между полос (ха-ха-ха-ха),0
Посмотри: он онемелый — я реанимирую урбан на скорость,0
Ну как?,0
"Самый новый, да бестактный (у)",0
Вижу в мусорах Гестапо,1
(йе),0
"Видимо, хватило знаков",1
(йе),0
На Сахарова всем не сладко,1
(у),0
"Я душу себя пакетом (хы, ха)",0
"Веришь или нет, блять?",0
Я не могу трезво смотреть,1
"Как смыть мне с глаз, блять, кемеровский пепел?",1
"Давай, блять!",0
Каждый новый день стремится отнять,0
"Я проживаю день, как будто два дня",0
"Я не знаю, что меня ждёт завтра",0
Слепой иду на запах,0
"Этот город не мой, но он дал мне голос",1
(йе),0
Этот город немой — он отдал мне голос,1
(,0
"Даже больше, чем хотел бы",0
),0
Моё сердце внутри так полно борозд,1
(,0
"Я тут дольше, чем хотел быть",0
),0
И лёг на костёр — неси мне хворост,0
[Куплет 5: Thomas Mraz],0
Мы пожиратели смерти,1
